Date,Open,High,Low,Close,Volume,Normalized_Open,Normalized_High,Normalized_Low,Normalized_Close,Normalized_Volume,Target price,Diff_Target_AND_Close_Percent,Label
20-01-00,1455.900024,1465.709961,1438.540039,1445.569946,1100700000,0.760009,4.319946,-10.140015,-10.330078,12900000,1441.359985,-0.291231912,1
21-01-00,1445.569946,1453.180054,1439.599976,1441.359985,1209800000,-10.330078,-12.529907,1.059937,-4.209961,109100000,1401.530029,-2.763359356,0
24-01-00,1441.359985,1454.089966,1395.420044,1401.530029,1115800000,-4.209961,0.909912,-44.179932,-39.829956,-94000000,1410.030029,0.606480049,2
25-01-00,1401.530029,1414.26001,1388.48999,1410.030029,1073700000,-39.829956,-39.829956,-6.930054,8.5,-42100000,1404.089966,-0.421272092,1
26-01-00,1410.030029,1412.72998,1400.160034,1404.089966,1117300000,8.5,-1.53003,11.670044,-5.940063,43600000,1398.560059,-0.393842783,1
27-01-00,1404.089966,1418.859985,1370.98999,1398.560059,1129500000,-5.940063,6.130005,-29.170044,-5.529907,12200000,1360.160034,-2.745682944,0
28-01-00,1398.560059,1398.560059,1356.199951,1360.160034,1095800000,-5.529907,-20.299926,-14.790039,-38.400025,-33700000,1394.459961,2.521756716,3
31-01-00,1360.160034,1394.47998,1350.140015,1394.459961,993800000,-38.400025,-4.080079,-6.059936,34.299927,-102000000,1409.280029,1.062781895,3
1/2/2000,1394.459961,1412.48999,1384.790039,1409.280029,981000000,34.299927,18.01001,34.650024,14.820068,-12800000,1409.119995,-0.011355728,1
2/2/2000,1409.280029,1420.609985,1403.48999,1409.119995,1038600000,14.820068,8.119995,18.699951,-0.160034,57600000,1424.969971,1.124813788,3
3/2/2000,1409.119995,1425.780029,1398.52002,1424.969971,1146500000,-0.160034,5.170044,-4.96997,15.849976,107900000,1424.369995,-0.042104466,1
4/2/2000,1424.969971,1435.910034,1420.630005,1424.369995,1045100000,15.849976,10.130005,22.109985,-0.599976,-101400000,1424.23999,-0.009127193,1
7/2/2000,1424.369995,1427.150024,1413.329956,1424.23999,918100000,-0.599976,-8.76001,-7.300049,-0.130005,-127000000,1441.719971,1.227319913,3
8/2/2000,1424.23999,1441.829956,1424.23999,1441.719971,1047700000,-0.130005,14.679932,10.910034,17.479981,129600000,1411.709961,-2.081542228,0
9/2/2000,1441.719971,1444.550049,1411.650024,1411.709961,1050500000,17.479981,2.720093,-12.589966,-30.01001,2800000,1416.829956,0.362680376,2
10/2/2000,1411.699951,1422.099976,1406.430054,1416.829956,1058800000,-30.02002,-22.450073,-5.21997,5.119995,8300000,1387.119995,-2.096932019,0
11/2/2000,1416.829956,1416.829956,1378.890015,1387.119995,1025700000,5.130005,-5.27002,-27.540039,-29.709961,-33100000,1389.939941,0.203295029,2
14-02-00,1387.119995,1394.930054,1380.530029,1389.939941,927300000,-29.709961,-21.899902,1.640014,2.819946,-98400000,1402.050049,0.871268437,2
15-02-00,1389.939941,1407.719971,1376.25,1402.050049,1092100000,2.819946,12.789917,-4.280029,12.110108,164800000,1387.670044,-1.025641346,0
16-02-00,1402.050049,1404.550049,1385.579956,1387.670044,1018800000,12.110108,-3.169922,9.329956,-14.380005,-73300000,1388.26001,0.042514862,2
17-02-00,1387.670044,1399.880005,1380.069946,1388.26001,1034800000,-14.380005,-4.670044,-5.51001,0.589966,16000000,1346.089966,-3.03761858,0
18-02-00,1388.26001,1388.589966,1345.319946,1346.089966,1042300000,0.589966,-11.290039,-34.75,-42.170044,7500000,1352.170044,0.451684371,2
22-02-00,1346.089966,1358.109985,1331.880005,1352.170044,980000000,-42.170044,-30.479981,-13.439941,6.080078,-62300000,1360.689941,0.630090649,2
23-02-00,1352.170044,1370.109985,1342.439941,1360.689941,993700000,6.080078,12,10.559936,8.519897,13700000,1353.430054,-0.533544548,1
24-02-00,1360.689941,1364.800049,1329.880005,1353.430054,1215000000,8.519897,-5.309936,-12.559936,-7.259887,221300000,1333.359985,-1.482904044,0
25-02-00,1353.430054,1362.140015,1329.150024,1333.359985,1065200000,-7.259887,-2.660034,-0.729981,-20.070069,-149800000,1348.050049,1.101732778,3
28-02-00,1333.359985,1360.819946,1325.069946,1348.050049,1026500000,-20.070069,-1.320069,-4.080078,14.690064,-38700000,1366.420044,1.362708678,3
29-02-00,1348.050049,1369.630005,1348.050049,1366.420044,1204300000,14.690064,8.810059,22.980103,18.369995,177800000,1379.189941,0.934551352,2
1/3/2000,1366.420044,1383.459961,1366.420044,1379.189941,1274100000,18.369995,13.829956,18.369995,12.769897,69800000,1381.76001,0.186346269,2
2/3/2000,1379.189941,1386.560059,1370.349976,1381.76001,1198600000,12.769897,3.100098,3.929932,2.570069,-75500000,1409.170044,1.983704392,3
3/3/2000,1381.76001,1410.880005,1381.76001,1409.170044,1150300000,2.570069,24.319946,11.410034,27.410034,-48300000,1391.280029,-1.26954267,0
6/3/2000,1409.170044,1409.73999,1384.75,1391.280029,1029000000,27.410034,-1.140015,2.98999,-17.890015,-121300000,1355.619995,-2.563109745,0
7/3/2000,1391.280029,1399.209961,1349.98999,1355.619995,1314100000,-17.890015,-10.530029,-34.76001,-35.660034,285100000,1366.699951,0.817334949,2
